LatD,LatM,LatS,NS,LonD,LonM,LonS,EW,City,State
36,40,11, N,,,0, W, Salinas, CA
38,50,24, N,,,36, W, Salina, KS
38,31,47, N,,,0, W, Salida, CO
44,56,23, N,,,47, W, Salem, OR
44,57,0, N,,,59, W, Saint Paul, MN
38,37,11, N,,,24, W, Saint Louis, MO
39,46,12, N,,,23, W, Saint Joseph, MO
42,5,59, N,,,48, W, Saint Joseph, MI
44,25,11, N,,,11, W, Saint Johnsbury, VT
45,34,11, N,,,11, W, Saint Cloud, MN
29,53,23, N,,,11, W, Saint Augustine, FL
43,25,48, N,,,24, W, Saginaw, MI
38,35,24, N,,,23, W, Sacramento, CA
43,36,36, N,,,12, W, Rutland, VT
33,24,0, N,,,47, W, Roswell, NM
35,56,23, N,,,0, W, Rocky Mount, NC
41,35,24, N,,,48, W, Rock Springs, WY
42,16,12, N,,,59, W, Rockford, IL
43,9,35, N,,,36, W, Rochester, NY
44,1,12, N,,,35, W, Rochester, MN
37,16,12, N,,,24, W, Roanoke, VA
37,32,24, N,,,59, W, Richmond, VA
39,49,48, N,,,23, W, Richmond, IN
38,46,12, N,,,23, W, Richfield, UT
45,38,23, N,,,11, W, Rhinelander, WI
39,31,12, N,,,35, W, Reno, NV
50,25,11, N,,,0, W, Regina, SA
40,10,48, N,,,23, W, Red Bluff, CA
40,19,48, N,,,48, W, Reading, PA
41,9,35, N,,,23, W, Ravenna, OH
